provinsi,kabkota,nama,kode_wilayah,total_pd,total_pd_laki,total_pd_perempuan,tk_pd,tk_pd_laki,tk_pd_perempuan,kb_pd,kb_pd_laki,kb_pd_perempuan,tpa_pd,tpa_pd_laki,tpa_pd_perempuan,sps_pd,sps_pd_laki,sps_pd_perempuan,pkbm_pd,pkbm_pd_laki,pkbm_pd_perempuan,skb_pd,skb_pd_laki,skb_pd_perempuan,sma_pd,sma_pd_laki,sma_pd_perempuan,smk_pd,smk_pd_laki,smk_pd_perempuan,slb_pd,slb_pd_laki,slb_pd_perempuan,sd_pd,sd_pd_laki,sd_pd_perempuan,smp_pd,smp_pd_laki,smp_pd_perempuan
Prov. Jawa Barat,Kab. Bekasi,Kec. Tambun Selatan,022216,99150,50159,48991,5613,2825,2788,1554,834,720,85,44,41,633,330,303,1799,1012,787,0,0,0,14495,6011,8484,9755,5673,4082,241,145,96,42666,21926,20740,22309,11359,10950
Prov. Jawa Barat,Kab. Bekasi,Kec. Cikarang Utara,022220,62409,32085,30324,3514,1782,1732,938,465,473,52,31,21,75,29,46,894,554,340,0,0,0,5825,2664,3161,4960,2569,2391,0,0,0,33605,17478,16127,12546,6513,6033
Prov. Jawa Barat,Kab. Bekasi,Kec. Babelan,022209,56286,28094,28192,3781,1941,1840,1469,773,696,0,0,0,32,17,15,695,425,270,0,0,0,5238,2209,3029,6837,3266,3571,0,0,0,26862,13797,13065,11372,5666,5706
Prov. Jawa Barat,Kab. Bekasi,Kec. Cikarang Barat,022218,47864,25817,22047,1852,969,883,972,524,448,55,31,24,0,0,0,987,561,426,539,305,234,2609,1043,1566,9648,6232,3416,115,76,39,23285,12051,11234,7802,4025,3777
Prov. Jawa Barat,Kab. Bekasi,Kec. Cibitung,022207,45664,23425,22239,4530,2320,2210,1519,790,729,39,19,20,84,45,39,692,425,267,0,0,0,2086,761,1325,3195,1945,1250,30,20,10,24342,12480,11862,9147,4620,4527
Prov. Jawa Barat,Kab. Bekasi,Kec. Cikarang Selatan,022221,44958,22654,22304,3368,1737,1631,772,383,389,15,8,7,98,47,51,447,259,188,0,0,0,3361,1274,2087,4408,2596,1812,0,0,0,24367,12318,12049,8122,4032,4090
Prov. Jawa Barat,Kab. Bekasi,Kec. Tambun Utara,022217,40513,20680,19833,2801,1488,1313,465,235,230,0,0,0,200,108,92,247,195,52,0,0,0,3053,1101,1952,3116,1816,1300,119,77,42,22352,11510,10842,8160,4150,4010
Prov. Jawa Barat,Kab. Bekasi,Kec. Setu,022201,40492,21118,19374,2813,1437,1376,1115,568,547,49,22,27,86,45,41,872,536,336,0,0,0,2701,1110,1591,4310,2574,1736,0,0,0,20748,10636,10112,7798,4190,3608
Prov. Jawa Barat,Kab. Bekasi,Kec. Serang Baru,022227,37214,19248,17966,3305,1687,1618,1018,521,497,15,6,9,233,121,112,25,14,11,0,0,0,1802,745,1057,884,560,324,164,103,61,23500,12250,11250,6268,3241,3027
Prov. Jawa Barat,Kab. Bekasi,Kec. Cibarusah,022203,29348,15172,14176,1245,631,614,834,459,375,0,0,0,35,14,21,629,425,204,0,0,0,2812,1070,1742,5246,3016,2230,31,19,12,12247,6323,5924,6269,3215,3054
