name,label,kode,nama,id_provinsi
11.01,KAB. ACEH SELATAN,11.01,KAB. ACEH SELATAN,11
11.02,KAB. ACEH TENGGARA,11.02,KAB. ACEH TENGGARA,11
11.03,KAB. ACEH TIMUR,11.03,KAB. ACEH TIMUR,11
11.04,KAB. ACEH TENGAH,11.04,KAB. ACEH TENGAH,11
11.05,KAB. ACEH BARAT,11.05,KAB. ACEH BARAT,11
11.06,KAB. ACEH BESAR,11.06,KAB. ACEH BESAR,11
11.07,KAB. PIDIE,11.07,KAB. PIDIE,11
11.08,KAB. ACEH UTARA,11.08,KAB. ACEH UTARA,11
11.09,KAB. SIMEULUE,11.09,KAB. SIMEULUE,11
11.1,KAB. ACEH SINGKIL,11.1,KAB. ACEH SINGKIL,11
11.11,KAB. BIREUEN,11.11,KAB. BIREUEN,11
11.12,KAB. ACEH BARAT DAYA,11.12,KAB. ACEH BARAT DAYA,11
11.13,KAB. GAYO LUES,11.13,KAB. GAYO LUES,11
11.14,KAB. ACEH JAYA,11.14,KAB. ACEH JAYA,11
11.15,KAB. NAGAN RAYA,11.15,KAB. NAGAN RAYA,11
11.16,KAB. ACEH TAMIANG,11.16,KAB. ACEH TAMIANG,11
11.17,KAB. BENER MERIAH,11.17,KAB. BENER MERIAH,11
11.18,KAB. PIDIE JAYA,11.18,KAB. PIDIE JAYA,11
11.71,KOTA BANDA ACEH,11.71,KOTA BANDA ACEH,11
11.72,KOTA SABANG,11.72,KOTA SABANG,11
11.73,KOTA LHOKSEUMAWE,11.73,KOTA LHOKSEUMAWE,11
11.74,KOTA LANGSA,11.74,KOTA LANGSA,11
11.75,KOTA SUBULUSSALAM,11.75,KOTA SUBULUSSALAM,11
12.01,KAB. TAPANULI TENGAH,12.01,KAB. TAPANULI TENGAH,12
12.02,KAB. TAPANULI UTARA,12.02,KAB. TAPANULI UTARA,12
12.03,KAB. TAPANULI SELATAN,12.03,KAB. TAPANULI SELATAN,12
12.04,KAB. NIAS,12.04,KAB. NIAS,12
